gene	chr	5utr_start	5utr_end	length	source
YAL003W	chrI	142123	142174	52	Miura_2006
YAL005C	chrI	141432	141493	62	Xu_2009
YAL007C	chrI	138346	138420	75	Nagalakshmi_2008
YAL008W	chrI	136816	136914	99	Miura_2006
YAL010C	chrI	135666	135706	41	Nagalakshmi_2008
YAL011W	chrI	132196	132199	4	Xu_2009
YAL012W	chrI	130695	130799	105	Yassour_2009
YAL016W	chrI	124783	124879	97	Miura_2006
YAL021C	chrI	113360	113432	73	Yassour_2009
YAL022C	chrI	110431	110463	33	Nagalakshmi_2008
YAL023C	chrI	108552	108671	120	Nagalakshmi_2008
YAL025C	chrI	101146	101174	29	Nagalakshmi_2008
YAL030W	chrI	87260	87286	27	Miura_2006
YAL033W	chrI	82689	82706	18	Nagalakshmi_2008
YAL034C	chrI	81952	82586	635	Yassour_2009
YAL034W-A	chrI	79696	79718	23	Xu_2009
YAL035W	chrI	76385	76427	43	Xu_2009
YAL038W	chrI	71681	71786	106	Xu_2009
YAL039C	chrI	69526	69581	56	Xu_2009
YAL042W	chrI	61288	61316	29	Miura_2006
YAL043C	chrI	61053	61088	36	Xu_2009
YAL044C	chrI	58463	58483	21	Miura_2006
YAL044W-A	chrI	57480	57518	39	Miura_2006
YAL046C	chrI	57386	57433	48	Miura_2006
YAL047C	chrI	56858	56886	29	Nagalakshmi_2008
YAL049C	chrI	52596	52696	101	Xu_2009
YAL053W	chrI	45752	45899	148	Zhang_2005
YAL055W	chrI	42156	42177	22	Miura_2006
YAL058W	chrI	37411	37464	54	Xu_2009
YAL060W	chrI	35098	35155	58	Miura_2006
YAR002C-A	chrI	154725	154798	74	Miura_2006
YAR002W	chrI	152216	152257	42	Xu_2009
YAR003W	chrI	154916	155005	90	Yassour_2009
YAR007C	chrI	158620	158689	70	Nagalakshmi_2008
YAR008W	chrI	158853	158966	114	Nagalakshmi_2008
YAR015W	chrI	169260	169375	116	Xu_2009
YAR027W	chrI	183689	183770	82	Miura_2006
YAR028W	chrI	184842	184892	51	Miura_2006
YBL001C	chrII	237468	237537	70	Xu_2009
YBL002W	chrII	236459	236492	34	Zhang_2005
YBL003C	chrII	235793	235866	74	Yassour_2009
YBL006C	chrII	217130	217150	21	Nagalakshmi_2008
YBL007C	chrII	216367	216418	52	Xu_2009
YBL010C	chrII	206950	206969	20	Yassour_2009
YBL011W	chrII	203438	203538	101	Xu_2009
YBL014C	chrII	201749	201787	39	Yassour_2009
YBL018C	chrII	186475	186544	70	Nagalakshmi_2008
YBL020W	chrII	182330	182401	72	Xu_2009
YBL021C	chrII	182095	182141	47	Nagalakshmi_2008
YBL022C	chrII	181276	181408	133	Xu_2009
YBL026W	chrII	170548	170623	76	Xu_2009
YBL027W	chrII	168372	168423	52	Xu_2009
YBL028C	chrII	167839	167885	47	Nagalakshmi_2008
YBL029C-A	chrII	164773	164897	125	Miura_2006
YBL030C	chrII	163998	164145	148	Nagalakshmi_2008
YBL032W	chrII	160125	160184	60	Miura_2006
YBL033C	chrII	159694	159721	28	Nagalakshmi_2008
YBL036C	chrII	151221	151233	13	Xu_2009
YBL038W	chrII	146118	146187	70	Xu_2009
YBL039W-B	chrII	143100	143393	294	Xu_2009
YBL040C	chrII	142869	142911	43	Nagalakshmi_2008
YBL041W	chrII	141207	141247	41	Nagalakshmi_2008
YBL042C	chrII	140261	140321	61	Xu_2009
YBL050W	chrII	125049	125125	77	Nagalakshmi_2008
YBL054W	chrII	117475	117589	115	Zhang_2005
YBL055C	chrII	116830	117219	390	Miura_2006
YBL056W	chrII	113637	113762	126	Xu_2009
YBL057C	chrII	113428	113452	25	Xu_2009
YBL058W	chrII	111404	111437	34	Xu_2009
YBL059C-A	chrII	110540	110571	32	Miura_2006
YBL061C	chrII	107407	107515	109	Nagalakshmi_2008
YBL064C	chrII	101157	101188	32	Nagalakshmi_2008
YBL068W	chrII	92373	92414	42	Miura_2006
YBL071W-A	chrII	89936	89978	43	Miura_2006
YBL072C	chrII	89126	89461	336	Miura_2006
YBL076C	chrII	84262	84277	16	Xu_2009
YBL078C	chrII	80732	80775	44	Miura_2006
YBL086C	chrII	62603	62717	115	Yassour_2009
YBL087C	chrII	60740	60848	109	Miura_2006
YBL090W	chrII	48779	48825	47	Xu_2009
YBL091C	chrII	48629	48679	51	Xu_2009
YBL092W	chrII	45545	45978	434	Yassour_2009
YBL093C	chrII	44919	45028	110	Nagalakshmi_2008
YBL095W	chrII	43252	43277	26	Miura_2006
YBL099W	chrII	36734	37053	320	Xu_2009
YBL102W	chrII	23981	24098	118	Zhang_2005
YBL104C	chrII	21294	21297	4	Xu_2009
YBL107C	chrII	10552	10562	11	Xu_2009
YBR001C	chrII	241284	241422	139	Nagalakshmi_2008
YBR003W	chrII	242790	242809	20	Nagalakshmi_2008
YBR004C	chrII	245668	245724	57	Nagalakshmi_2008
YBR009C	chrII	255685	255728	44	Miura_2006
YBR010W	chrII	256304	256331	28	Xu_2009
YBR011C	chrII	257976	258006	31	Nagalakshmi_2008
YBR015C	chrII	269504	269640	137	Xu_2009
YBR016W	chrII	270212	270247	36	Nagalakshmi_2008
YBR017C	chrII	273704	273765	62	Nagalakshmi_2008
YBR021W	chrII	281333	281443	111	Nagalakshmi_2008
YBR022W	chrII	283720	283738	19	Miura_2006
YBR024W	chrII	289333	289445	113	Yassour_2009
YBR025C	chrII	291866	291943	78	Nagalakshmi_2008
YBR030W	chrII	298227	298292	66	Nagalakshmi_2008
YBR031W	chrII	300107	300166	60	Xu_2009
YBR034C	chrII	305977	306022	46	Yassour_2009
YBR035C	chrII	306956	306990	35	Xu_2009
YBR038W	chrII	311848	311898	51	Yassour_2009
YBR039W	chrII	315497	315575	79	Xu_2009
YBR044C	chrII	326060	326150	91	Xu_2009
YBR048W	chrII	332738	332831	94	Xu_2009
YBR049C	chrII	336819	336949	131	Nagalakshmi_2008
YBR052C	chrII	339353	339446	94	Xu_2009
YBR054W	chrII	342782	343101	320	Zhang_2005
YBR056W	chrII	347820	347879	60	Xu_2009
YBR056W-A	chrII	351229	351255	27	Zhang_2005
YBR057C	chrII	353294	353392	99	Nagalakshmi_2008
YBR058C-A	chrII	356567	356625	59	Miura_2006
YBR060C	chrII	362515	362606	92	Nagalakshmi_2008
YBR061C	chrII	365720	365743	24	Nagalakshmi_2008
YBR067C	chrII	372736	372813	78	Xu_2009
YBR068C	chrII	375691	375767	77	Nagalakshmi_2008
